S5/Q SIX-PARAMETER rational certificate.
Root: a_l | a_h | b_l | b_h | lambda_l | lambda_h | theta_l | theta_h | z_l | z_h
  | alpha_l | alpha_h
147/1000 | 267701/180000 | 2017/10400 | 198301/40000 | 7/30 | 2/5 | 0 | 1 | 0 |
  1/5 | 0 | 1
Splits: parent | axis(0=a,1=b,2=lambda,3=theta,4=z,5=alpha) | midpoint
R00011000011111000110 | 2 | 39/160
R00011000011111000111 | 2 | 39/160
R000110000111110001111 | 3 | 13/16
R0001100001111100011111 | 4 | 13/80
R00011000011111001 | 5 | 3/8
R000110000111110010 | 0 | 382361/960000
R000110000111110011 | 0 | 382361/960000
R0001100001111100110 | 1 | 695753/640000
R00011000011111001101 | 2 | 39/160
R0001100001111100111 | 1 | 695753/640000
R00011000011111001111 | 2 | 39/160
R0001100001111101 | 4 | 7/40
R00011000011111010 | 5 | 3/8
R000110000111110100 | 0 | 382361/960000
R0001100001111101000 | 1 | 695753/640000
R00011000011111010001 | 2 | 39/160
R000110000111110100011 | 3 | 15/16
R0001100001111101000111 | 4 | 13/80
R000110000111110101 | 0 | 382361/960000
R0001100001111101010 | 1 | 695753/640000
R00011000011111010101 | 2 | 39/160
R000110000111110101011 | 3 | 15/16
R0001100001111101010111 | 4 | 13/80
R00011000011111010101110 | 5 | 7/16
R00011000011111010101111 | 5 | 7/16
R000110000111110101011110 | 0 | 82117/230400
R0001100001111101010111101 | 1 | 20566641/16640000
R000110000111110101011111 | 0 | 82117/230400
R0001100001111101010111111 | 1 | 20566641/16640000
R0001100001111101011 | 1 | 695753/640000
R00011000011111010110 | 2 | 39/160
R000110000111110101100 | 3 | 15/16
R0001100001111101011000 | 4 | 13/80
R00011000011111010110000 | 5 | 7/16
R000110000111110101100001 | 0 | 2535407/5760000
R00011000011111010110001 | 5 | 7/16
R0001100001111101011001 | 4 | 13/80
R00011000011111010110010 | 5 | 7/16
R000110000111110101100101 | 0 | 2535407/5760000
R0001100001111101011001010 | 1 | 3122503/3328000
R0001100001111101011001011 | 1 | 3122503/3328000
R00011000011111010110010111 | 2 | 229/960
R00011000011111010110011 | 5 | 7/16
R000110000111110101100111 | 0 | 2535407/5760000
R0001100001111101011001111 | 1 | 3122503/3328000
R00011000011111010110011111 | 2 | 229/960
R00011000011111010111 | 2 | 39/160
R000110000111110101111 | 3 | 15/16
R0001100001111101011110 | 4 | 13/80
R00011000011111010111100 | 5 | 7/16
R000110000111110101111001 | 0 | 2535407/5760000
R00011000011111010111101 | 5 | 7/16
R000110000111110101111010 | 0 | 2535407/5760000
R000110000111110101111011 | 0 | 2535407/5760000
R0001100001111101011110111 | 1 | 20566641/16640000
R0001100001111101011111 | 4 | 13/80
R00011000011111010111110 | 5 | 7/16
R000110000111110101111100 | 0 | 2535407/5760000
R000110000111110101111101 | 0 | 2535407/5760000
R0001100001111101011111010 | 1 | 20566641/16640000
R00011000011111010111110101 | 2 | 239/960
R0001100001111101011111011 | 1 | 20566641/16640000
R00011000011111010111110111 | 2 | 239/960
R00011000011111010111111 | 5 | 7/16
R000110000111110101111110 | 0 | 2535407/5760000
R0001100001111101011111100 | 1 | 20566641/16640000
R000110000111110101111111 | 0 | 2535407/5760000
R0001100001111101011111110 | 1 | 20566641/16640000
R00011000011111010111111100 | 2 | 239/960
R00011000011111010111111101 | 2 | 239/960
R0001100001111101011111111 | 1 | 20566641/16640000
R00011000011111010111111110 | 2 | 239/960
R00011000011111010111111111 | 2 | 239/960
R00011000011111011 | 5 | 3/8
R000110000111110110 | 0 | 382361/960000
R000110000111110111 | 0 | 382361/960000
R0001100001111101110 | 1 | 695753/640000
R00011000011111011101 | 2 | 39/160
R000110000111110111011 | 3 | 15/16
R0001100001111101110111 | 4 | 3/16
