S5/Q SIX-PARAMETER rational certificate.
Root: a_l | a_h | b_l | b_h | lambda_l | lambda_h | theta_l | theta_h | z_l | z_h
  | alpha_l | alpha_h
147/1000 | 267701/180000 | 2017/10400 | 198301/40000 | 7/30 | 2/5 | 0 | 1 | 0 |
  1/5 | 0 | 1
Splits: parent | axis(0=a,1=b,2=lambda,3=theta,4=z,5=alpha) | midpoint
1007014129303360327011/936347871429037339825 | 27/25 | JD1 | 10152417
Cell sum 855405228.
Leaf R00011000011111011111101: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/495830 | B1 | 37483448
310167/495830 | 8517777957/11588042930 | J0 | 78136865
8517777957/11588042930 | 15198183/17095670 | 0:Nlo | 264794788
15198183/17095670 | 9/10 | 0:Nhi | 23541388
9/10 | 371/400 | 0:Nhi | 66669551
371/400 | 21901817/22834730 | D0:Nhi | 78435543
21901817/22834730 | 21248599916544/20732453872985 | D0:Nlo | 162124617
21248599916544/20732453872985 | 26/25 | JD1 | 36209931
26/25 | 193210914/180307225 | JD1 | 72577634
193210914/180307225 | 22832979795037218108939/21238359069478905656425 | JD1 |
  7910444
22832979795037218108939/21238359069478905656425 |
  1007014129303360327011/936347871429037339825 | JD1 | 870643
1007014129303360327011/936347871429037339825 | 27/25 | JD1 | 10152414
Cell sum 838907266.
Leaf R000110000111110111111100: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/495830 | B1 | 37483448
310167/495830 | 8517777957/11588042930 | J0 | 78136865
8517777957/11588042930 | 15198183/17095670 | 0:Nlo | 264794788
15198183/17095670 | 9/10 | 0:Nhi | 23541388
9/10 | 452/475 | 0:Nhi | 135261651
452/475 | 549834601/573826600 | J1 | 19525285
549834601/573826600 | 22091817/22022230 | D0:Nhi | 116055332
22091817/22022230 | 26/25 | D0:Nlo | 83311510
26/25 | 22832979795037218108939/21263959069478905656425 | D0:Nlo | 78238405
22832979795037218108939/21263959069478905656425 |
  4382812776048616907729363792393855344202613/407758218189989643872407437230897717
  0557975 | 1:A | 2539500
4382812776048616907729363792393855344202613/40775821818998964387240743723089771705
  57975 | 27/25 | D0:Nlo | 11455889
Cell sum 850344061.
Leaf R0001100001111101111111010: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/517430 | B1 | 27810443
310167/517430 | 15198183/18874070 | J0 | 182178564
15198183/18874070 | 27454104158481/32565452496490 | J0 | 68505685
27454104158481/32565452496490 | 106387281/119878490 | 0:Nlo | 89975091
106387281/119878490 | 9/10 | 0:Nhi | 26719839
9/10 | 3571351/3841325 | 0:Nhi | 72569728
3571351/3841325 | 452/475 | J0 | 60921349
452/475 | 407275399/422485900 | JD0 | 35725976
407275399/422485900 | 30001817/30334730 | D0:Nhi | 66298073
30001817/30334730 | 3196331/3167015 | D0:Nlo | 51508874
3196331/3167015 | 21248599916544/20732453872985 | J1 | 40040448
21248599916544/20732453872985 | 1638237831430144/1598227304017975 | 1:Q | 348682
1638237831430144/1598227304017975 | 819118915715072/799113651938675 | J1 | 2
819118915715072/799113651938675 | 26/25 | 1:A | 36969869
26/25 | 46065004750504563473787/42698724732837558772025 | 1:A | 93217274
46065004750504563473787/42698724732837558772025 | 27/25 | JD0 | 2638810
Cell sum 855428707.
Leaf R0001100001111101111111011: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/495830 | B1 | 37483448
310167/495830 | 2171169/2660810 | J0 | 193761884
2171169/2660810 | 277861866282/327054791555 | J0 | 64839579
277861866282/327054791555 | 15198183/17095670 | 0:Nlo | 82190570
15198183/17095670 | 9/10 | 0:Nhi | 23541388
9/10 | 3571351/3841325 | 0:Nhi | 72529363
3571351/3841325 | 452/475 | J0 | 59560634
452/475 | 15198183/15754070 | JD0 | 36590327
15198183/15754070 | 164812719/165121510 | D0:Nhi | 85761354
164812719/165121510 | 26/25 | D0:Nlo | 100272600
26/25 | 193176464/185713475 | JD0 | 440466
193176464/185713475 | 4954126/4731275 | D0:Nlo | 16591620
4954126/4731275 | 49577770872817981644393/46025241512757390411475 | 1:A | 72085027
49577770872817981644393/46025241512757390411475 |
  24152894488353780778923/22389210286253500721225 | JD0 | 3675003
24152894488353780778923/22389210286253500721225 | 27/25 | JD0 | 2678934
Cell sum 852002197.
Leaf R00011000011111011111111: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/495830 | B1 | 37483448
310167/495830 | 8517777957/11588042930 | J0 | 78136865
8517777957/11588042930 | 15198183/17095670 | 0:Nlo | 264794788
15198183/17095670 | 9/10 | 0:Nhi | 23541388
9/10 | 371/400 | 0:Nhi | 66669552
371/400 | 21901817/22834730 | D0:Nhi | 78435543
21901817/22834730 | 26/25 | D0:Nlo | 198731856
Cell sum 747793440.
Leaf R0001100001111110000: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/546230 | B1 | 19034449
310167/546230 | 15198183/17165270 | 0:Nlo | 339473734
15198183/17165270 | 9/10 | 0:Nhi | 30889437
9/10 | 58964488793431/62084271442300 | 0:Nhi | 129928715
58964488793431/62084271442300 | 64403638/65511575 | J1 | 103113601
64403638/65511575 | 124/125 | J1 | 25559917
124/125 | 56496362/56363425 | JD1 | 28539250
56496362/56363425 | 26/25 | JD1 | 92650036
26/25 | 359528637802938892714881/336212486854573048810075 | JD1 | 67006985
359528637802938892714881/336212486854573048810075 |
  341436140536839305336247276649450617363985311/3175598451390919875927328325209511
  64225912325 | JD1 | 13479770
341436140536839305336247276649450617363985311/317559845139091987592732832520951164
  225912325 | 27/25 | D0:Nlo | 10287303
27/25 | 29/25 | D0:Nlo | 125100134
Cell sum 985063331.
Leaf R0001100001111110001: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/495830 | B1 | 37483448
310167/495830 | 15198183/17095670 | 0:Nlo | 342991715
15198183/17095670 | 9/10 | 0:Nhi | 23541390
9/10 | 500152662009/530021903210 | 0:Nhi | 111526618
500152662009/530021903210 | 64403638/65511575 | J1 | 123450253
64403638/65511575 | 124/125 | J1 | 25559917
124/125 | 56496362/56363425 | JD1 | 28539251
56496362/56363425 | 708440018/688127325 | JD1 | 68442676
708440018/688127325 | 26/25 | D0:Nhi | 23369097
26/25 |
  374835582671425169838735501765792537363985311/3532416874398115020521807157090671
  64225912325 | D0:Nhi | 46452659
374835582671425169838735501765792537363985311/353241687439811502052180715709067164
  225912325 | 359528637802938892714881/336212486854573048810075 | JD1 | 18929311
359528637802938892714881/336212486854573048810075 |
  47671690552913237082975509281975619623426473/44528162881426261385300439384198166
  317987475 | JD1 | 2880665
47671690552913237082975509281975619623426473/4452816288142626138530043938419816631
  7987475 | 324074316500538892714881/301418144998573048810075 | D0:Nhi | 9207115
324074316500538892714881/301418144998573048810075 | 27/25 | D0:Nlo | 8282223
27/25 | 29/25 | D0:Nlo | 109535601
Cell sum 980191939.
Leaf R0001100001111110010: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/546230 | B1 | 19034449
310167/546230 | 9089613117/13028131730 | J0 | 61123587
9089613117/13028131730 | 15198183/17165270 | 0:Nlo | 278293789
15198183/17165270 | 9/10 | 0:Nhi | 30889437
9/10 | 2171169/2279210 | 0:Nhi | 138667522
2171169/2279210 | 64403638/65511575 | J1 | 93790999
64403638/65511575 | 124/125 | J1 | 25559917
124/125 | 56496362/56363425 | JD1 | 28539250
56496362/56363425 | 26/25 | JD1 | 92650037
26/25 | 359528637802938892714881/336212486854573048810075 | JD1 | 67006985
359528637802938892714881/336212486854573048810075 | 27/25 | JD1 | 24385598
Cell sum 859941570.
Leaf R00011000011111100110: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/495830 | B1 | 37483448
310167/495830 | 8517777957/11588042930 | J0 | 78136865
8517777957/11588042930 | 15198183/17095670 | 0:Nlo | 264794789
15198183/17095670 | 9/10 | 0:Nhi | 23541388
9/10 | 2171169/2323610 | 0:Nhi | 85276934
2171169/2323610 | 4954126/5131275 | J1 | 82845222
4954126/5131275 | 124/125 | J1 | 68275002
124/125 | 7445874/7368725 | JD1 | 45693327
7445874/7368725 | 26/25 | JD1 | 68779565
26/25 | 359528637802938892714881/336212486854573048810075 | JD1 | 67006985
359528637802938892714881/336212486854573048810075 |
  337372647195498892714881/312734053330573048810075 | JD1 | 21700581
337372647195498892714881/312734053330573048810075 | 27/25 | JD0 | 2648478
Cell sum 846182584.
Leaf R00011000011111100111: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/495830 | B1 | 37483448
310167/495830 | 8517777957/11588042930 | J0 | 78136865
8517777957/11588042930 | 15198183/17095670 | 0:Nlo | 264794788
15198183/17095670 | 9/10 | 0:Nhi | 23541390
9/10 | 493639155009/516680243210 | 0:Nhi | 147127543
493639155009/516680243210 | 64403638/65511575 | J1 | 84699010
64403638/65511575 | 124/125 | J1 | 25559917
124/125 | 56496362/56363425 | JD1 | 28539250
56496362/56363425 | 26/25 | JD1 | 92650038
26/25 | 359528637802938892714881/336212486854573048810075 | JD1 | 64641272
359528637802938892714881/336212486854573048810075 | 27/25 | JD1 | 22503271
Cell sum 869676792.
Leaf R0001100001111110100: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/546230 | B1 | 19034449
310167/546230 | 15198183/17165270 | 0:Nlo | 339473734
15198183/17165270 | 9/10 | 0:Nhi | 30889437
9/10 | 97/100 | 0:Nhi | 195515619
97/100 | 1030808475750983/1036312566903900 | JD1 | 71367813
1030808475750983/1036312566903900 | 41546817/41195530 | D0:Nhi | 35664285
41546817/41195530 | 712046218/688127325 | D0:Nlo | 62434164
712046218/688127325 | 26/25 | JD1 | 11933644
26/25 | 359528637802938892714881/335337686854573048810075 | JD1 | 73286075
359528637802938892714881/335337686854573048810075 |
  341436140536839305336247276649450617363985311/3175598451390919875927328325209511
  64225912325 | JD1 | 7037143
341436140536839305336247276649450617363985311/317559845139091987592732832520951164
  225912325 | 27/25 | D0:Nlo | 10287303
Cell sum 856923666.
Leaf R0001100001111110101: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/495830 | B1 | 37483448
310167/495830 | 15198183/17095670 | 0:Nlo | 342991715
15198183/17095670 | 9/10 | 0:Nhi | 23541390
9/10 | 97/100 | 0:Nhi | 194994898
97/100 | 3593542723/3616648200 | JD1 | 68409714
3593542723/3616648200 | 22631817/21834730 | D0:Nhi | 96976792
22631817/21834730 | 26/25 | D0:Nlo | 6335730
26/25 | 15198183/14540270 | D0:Nlo | 9485432
15198183/14540270 | 359528637802938892714881/335337686854573048810075 | D0:Nhi |
  52386304
359528637802938892714881/335337686854573048810075 |
  324074316500538892714881/301418144998573048810075 | D0:Nhi | 5836463
324074316500538892714881/301418144998573048810075 | 27/25 | D0:Nlo | 8282223
27/25 | 29/25 | D0:Nlo | 122204837
Cell sum 968928946.
Leaf R0001100001111110110: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/546230 | B1 | 19034449
310167/546230 | 9089613117/13028131730 | J0 | 61123587
9089613117/13028131730 | 15198183/17165270 | 0:Nlo | 278293789
15198183/17165270 | 9/10 | 0:Nhi | 30889437
9/10 | 43820027/45584200 | 0:Nhi | 166336135
43820027/45584200 | 97/100 | J1 | 26953546
97/100 | 26/25 | JD1 | 184123343
26/25 | 359528637802938892714881/335337686854573048810075 | JD1 | 73286075
359528637802938892714881/335337686854573048810075 | 27/25 | JD1 | 17942971
Cell sum 857983332.
Leaf R00011000011111101110: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/495830 | B1 | 37483448
310167/495830 | 8517777957/11588042930 | J0 | 78136865
8517777957/11588042930 | 15198183/17095670 | 0:Nlo | 264794789
15198183/17095670 | 9/10 | 0:Nhi | 23541388
9/10 | 2171169/2323610 | 0:Nhi | 85276934
2171169/2323610 | 4954126/5131275 | J1 | 82845222
4954126/5131275 | 97/100 | J1 | 11784126
97/100 | 4745874/4868725 | JD1 | 12318534
4745874/4868725 | 26/25 | JD1 | 156624688
26/25 | 359528637802938892714881/335337686854573048810075 | JD1 | 73286075
359528637802938892714881/335337686854573048810075 |
  337372647195498892714881/312734053330573048810075 | JD1 | 15257953
337372647195498892714881/312734053330573048810075 | 27/25 | JD0 | 2648478
Cell sum 843998500.
Leaf R00011000011111101111: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/495830 | B1 | 37483448
310167/495830 | 8517777957/11588042930 | J0 | 78136865
8517777957/11588042930 | 15198183/17095670 | 0:Nlo | 264794788
15198183/17095670 | 9/10 | 0:Nhi | 23541390
9/10 | 44250707/46472200 | 0:Nhi | 137160659
44250707/46472200 | 97/100 | J1 | 56109752
97/100 | 3593542723/3616648200 | JD1 | 68409714
3593542723/3616648200 | 43001817/42834730 | D0:Nhi | 27246073
43001817/42834730 | 3289595160467709/3256034454399700 | D0:Nlo | 16458472
3289595160467709/3256034454399700 | 26/25 | JD1 | 71378014
26/25 | 359528637802938892714881/335337686854573048810075 | JD1 | 70410217
359528637802938892714881/335337686854573048810075 | 27/25 | JD1 | 16530623
Cell sum 867660015.
Leaf R0001100001111111000: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/546230 | B1 | 19034449
310167/546230 | 15198183/17165270 | 0:Nlo | 339473734
15198183/17165270 | 9/10 | 0:Nhi | 30889437
9/10 | 529910389/550092600 | 0:Nhi | 172948671
529910389/550092600 | 11345394332073984/11058524040373975 | J1 | 173800901
11345394332073984/11058524040373975 |
  253484357297718174420819/246917069180566673082700 | 1:A | 1655004
253484357297718174420819/246917069180566673082700 | 57341817/55820530 | D0:Nhi |
  1641327
57341817/55820530 | 264196214255324/255623015557475 | D0:Nlo | 15630390
264196214255324/255623015557475 | 26/25 | 1:A | 15837933
26/25 |
  340951655804238967741777830599891241363985311/3180786928970244361442661566906015
  64225912325 | 1:A | 79410358
340951655804238967741777830599891241363985311/318078692897024436144266156690601564
  225912325 | 27/25 | D0:Nlo | 18268664
27/25 | 29/25 | D0:Nlo | 125100133
Cell sum 993691001.
Leaf R0001100001111111001: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/495830 | B1 | 37483448
310167/495830 | 15198183/17095670 | 0:Nlo | 342991715
15198183/17095670 | 9/10 | 0:Nhi | 23541390
9/10 | 58500314704871/61159570314300 | 0:Nhi | 150633805
58500314704871/61159570314300 |
  47019601757499907615793086464/45854067897125248845549913075 | J1 | 193354537
47019601757499907615793086464/45854067897125248845549913075 | 26/25 | D0:Nhi |
  33460934
26/25 | 359528637802938892714881/336212486854573048810075 | D0:Nhi | 66026613
359528637802938892714881/336212486854573048810075 |
  324074316500538892714881/301418144998573048810075 | D0:Nhi | 12144524
324074316500538892714881/301418144998573048810075 | 27/25 | D0:Nlo | 8282223
27/25 | 29/25 | D0:Nlo | 109535601
Cell sum 977454790.
Leaf R0001100001111111010: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/546230 | B1 | 19034449
310167/546230 | 9089613117/13028131730 | J0 | 61123587
9089613117/13028131730 | 15198183/17165270 | 0:Nlo | 278293789
15198183/17165270 | 9/10 | 0:Nhi | 30889437
9/10 | 2171169/2279210 | 0:Nhi | 138667523
2171169/2279210 | 11345394332073984/11058524040373975 | J1 | 206939855
11345394332073984/11058524040373975 | 26/25 | 1:A | 34822821
26/25 |
  29558823414330765102358954920526979760362301/27456934432800477991553806745666833
  111446575 | 1:A | 91283250
29558823414330765102358954920526979760362301/2745693443280047799155380674566683311
  1446575 | 27/25 | JD0 | 8258899
Cell sum 869313610.
Leaf R00011000011111110110: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/495830 | B1 | 37483448
310167/495830 | 8517777957/11588042930 | J0 | 78136865
8517777957/11588042930 | 15198183/17095670 | 0:Nlo | 264794789
15198183/17095670 | 9/10 | 0:Nhi | 23541388
9/10 | 2171169/2323610 | 0:Nhi | 85276935
2171169/2323610 | 654541980696576/640866599036275 | J1 | 221509615
654541980696576/640866599036275 | 26/25 | 1:A | 45599466
26/25 |
  338535765243849386559752449804530177363985311/3146265716975618199436253306573951
  64225912325 | 1:A | 89846906
338535765243849386559752449804530177363985311/314626571697561819943625330657395164
  225912325 | 337372647195498892714881/312734053330573048810075 | D0:Nlo | 6656128
337372647195498892714881/312734053330573048810075 | 27/25 | JD0 | 2648478
Cell sum 855494018.
Leaf R00011000011111110111000: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/495830 | B1 | 37483448
310167/495830 | 8517777957/11588042930 | J0 | 78136865
8517777957/11588042930 | 15198183/17095670 | 0:Nlo | 264794788
15198183/17095670 | 9/10 | 0:Nhi | 23541390
9/10 | 58500314704871/61159570314300 | 0:Nhi | 150633806
58500314704871/61159570314300 | 1358/1375 | J1 | 92198640
1358/1375 | 26/25 | JD1 | 134667035
26/25 | 359528637802938892714881/336212486854573048810075 | JD1 | 67513338
359528637802938892714881/336212486854573048810075 |
  172789770193311711461859/160917660868770103205425 | JD1 | 9985859
172789770193311711461859/160917660868770103205425 |
  25055727406884530208837/23223029212967157600775 | JD1 | 11536657
25055727406884530208837/23223029212967157600775 |
  25068299478444530208837/23223029212967157600775 | D0:Nlo | 1191205
25068299478444530208837/23223029212967157600775 | 27/25 | JD0 | 1159848
27/25 | 29/25 | JD0 | 121310585
Cell sum 994153464.
Leaf R000110000111111101110010: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/495830 | B1 | 37483448
310167/495830 | 8517777957/11588042930 | J0 | 78136865
8517777957/11588042930 | 15198183/17095670 | 0:Nlo | 264794788
15198183/17095670 | 9/10 | 0:Nhi | 23541390
9/10 | 644533201/673863435 | 0:Nhi | 150492092
644533201/673863435 | 1196/1225 | J1 | 59826967
1196/1225 | 3061331/3035765 | JD1 | 88670213
3061331/3035765 | 34136817/33365980 | D0:Nhi | 36012550
34136817/33365980 | 26/25 | D0:Nlo | 38843829
26/25 | 4954126/4731275 | D0:Nlo | 16359756
4954126/4731275 | 27656049061764530208837/25828852834967157600775 | JD1 | 54083140
27656049061764530208837/25828852834967157600775 |
  172789770193311711461859/160917660868770103205425 | JD1 | 6836010
172789770193311711461859/160917660868770103205425 |
  302955956945534998887989413858316313363985311/2815958623126960931569764305639855
  64225912325 | JD1 | 4664804
302955956945534998887989413858316313363985311/281595862312696093156976430563985564
  225912325 | 27/25 | D0:Nlo | 8723854
27/25 | 14862378/13393825 | D0:Nlo | 53840985
14862378/13393825 | 29/25 | JD0 | 72182243
Cell sum 994492934.
Leaf R000110000111111101110011: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/495830 | B1 | 37483448
310167/495830 | 2171169/2660810 | J0 | 193761884
2171169/2660810 | 277861866282/327054791555 | J0 | 64839579
277861866282/327054791555 | 15198183/17095670 | 0:Nlo | 82190568
15198183/17095670 | 9/10 | 0:Nhi | 23541390
9/10 | 64403638/68761575 | 0:Nhi | 91461787
64403638/68761575 | 644533201/673863435 | J0 | 56380023
644533201/673863435 | 1196/1225 | J1 | 59826967
1196/1225 | 73450793/71037325 | JD1 | 152453819
73450793/71037325 | 26/25 | JD1 | 14239481
26/25 | 14862378/14206325 | JD1 | 14402022
14862378/14206325 | 27656049061764530208837/25828852834967157600775 | JD1 |
  56220885
27656049061764530208837/25828852834967157600775 |
  172789770193311711461859/160917660868770103205425 | JD1 | 6836012
172789770193311711461859/160917660868770103205425 |
  25055727406884530208837/23223029212967157600775 | JD1 | 11536657
25055727406884530208837/23223029212967157600775 | 27/25 | JD0 | 2313143
Cell sum 867487665.
Leaf R000110000111111101110100: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/495830 | B1 | 37483448
310167/495830 | 8517777957/11588042930 | J0 | 78136865
8517777957/11588042930 | 15198183/17095670 | 0:Nlo | 264794788
15198183/17095670 | 9/10 | 0:Nhi | 23541390
9/10 | 493639155009/516680243210 | 0:Nhi | 147127544
493639155009/516680243210 | 31322636010159271589/30617812274347485910 | J1 |
  189681838
31322636010159271589/30617812274347485910 | 40819317/39553480 | D0:Nhi | 21783843
40819317/39553480 | 26/25 | D0:Nlo | 18513375
26/25 | 197576379/186023510 | D0:Nlo | 51856709
197576379/186023510 |
  26661684975386604742644094014147/25017370764206615236420589945300 | D0:Nhi |
  8636690
26661684975386604742644094014147/25017370764206615236420589945300 |
  282865435763142179630034889353101393154141417/2638202653301432164834518789281322
  15883464275 | 1:A | 15419811
282865435763142179630034889353101393154141417/263820265330143216483451878928132215
  883464275 | 27/25 | D0:Nlo | 17240047
27/25 | 14862378/13393825 | D0:Nlo | 52462645
14862378/13393825 | 29/25 | JD0 | 64089321
Cell sum 990768314.
Leaf R000110000111111101110101: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/495830 | B1 | 37483448
310167/495830 | 2171169/2660810 | J0 | 193761884
2171169/2660810 | 277861866282/327054791555 | J0 | 64839579
277861866282/327054791555 | 15198183/17095670 | 0:Nlo | 82190568
15198183/17095670 | 9/10 | 0:Nhi | 23541390
9/10 | 59205944629871/62604916814300 | 0:Nhi | 117585766
59205944629871/62604916814300 | 2171169/2223610 | J0 | 91282838
2171169/2223610 | 11345394332073984/11058524040373975 | J1 | 134244124
11345394332073984/11058524040373975 | 26/25 | 1:A | 34822820
26/25 | 718815129835011376056273/667137536310047570422475 | 1:A | 89952534
718815129835011376056273/667137536310047570422475 | 27/25 | JD0 | 5606910
27/25 | 29/25 | JD0 | 120722690
Cell sum 996034551.
Leaf R000110000111111101110110: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/495830 | B1 | 37483448
310167/495830 | 8517777957/11588042930 | J0 | 78136865
8517777957/11588042930 | 15198183/17095670 | 0:Nlo | 264794788
15198183/17095670 | 9/10 | 0:Nhi | 23541390
9/10 | 1087743917/1138568900 | 0:Nhi | 146986786
1087743917/1138568900 | 3061331/3035765 | J1 | 151850378
3061331/3035765 | 34136817/33365980 | D0:Nhi | 36012550
34136817/33365980 | 26/25 | D0:Nlo | 38843828
26/25 | 27656049061764530208837/25828852834967157600775 | D0:Nlo | 72127440
27656049061764530208837/25828852834967157600775 |
  27871134021762936389562195929470832104921947/25985156818712590824877173691741474
  171224025 | 1:A | 4374373
27871134021762936389562195929470832104921947/2598515681871259082487717369174147417
  1224025 | 27/25 | D0:Nlo | 16314425
27/25 | 14862378/13393825 | D0:Nlo | 53840984
14862378/13393825 | 29/25 | JD0 | 72182243
Cell sum 996489498.
Leaf R0001100001111111011101110: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/517430 | B1 | 27810443
310167/517430 | 15198183/18874070 | J0 | 182178564
15198183/18874070 | 27454104158481/32565452496490 | J0 | 68505685
27454104158481/32565452496490 | 106387281/119878490 | 0:Nlo | 89975090
106387281/119878490 | 9/10 | 0:Nhi | 26719840
9/10 | 93186743/98541205 | 0:Nhi | 117453107
93186743/98541205 | 1196/1225 | J0 | 91130435
1196/1225 | 2669210272797107/2657315990033100 | J1 | 78591009
2669210272797107/2657315990033100 | 44601817/44084730 | D0:Nhi | 19236235
44601817/44084730 | 12850162/12662155 | D0:Nlo | 8064520
12850162/12662155 | 11345394332073984/11058524040373975 | J1 | 28479298
11345394332073984/11058524040373975 | 26/25 | 1:A | 34822818
26/25 | 718815129835011376056273/667137536310047570422475 | 1:A | 89952535
718815129835011376056273/667137536310047570422475 | 27/25 | JD0 | 5606910
Cell sum 868526489.
Leaf R0001100001111111011101111: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/495830 | B1 | 37483448
310167/495830 | 2171169/2660810 | J0 | 193761884
2171169/2660810 | 277861866282/327054791555 | J0 | 64839579
277861866282/327054791555 | 15198183/17095670 | 0:Nlo | 82190568
15198183/17095670 | 9/10 | 0:Nhi | 23541390
9/10 | 64403638/70386575 | 0:Nhi | 34907135
64403638/70386575 | 15198183/15754070 | J0 | 135153275
15198183/15754070 | 7491928379/7719494300 | J0 | 16942085
7491928379/7719494300 | 111555149561856/111003208983365 | J1 | 96919946
111555149561856/111003208983365 | 252412719/247621510 | D0:Nhi | 36553194
252412719/247621510 | 577759869022231/558686446403550 | D0:Nlo | 35963460
577759869022231/558686446403550 | 26/25 | 1:A | 14352143
26/25 | 774127227958540436473947/719670041979981885624025 | 1:A | 85697355
774127227958540436473947/719670041979981885624025 |
  114035283630100062353421/105838779103425983660575 | JD0 | 4103344
114035283630100062353421/105838779103425983660575 | 27/25 | JD0 | 5441820
Cell sum 867850626.
Leaf R000110000111111101111: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/495830 | B1 | 37483448
310167/495830 | 8517777957/11588042930 | J0 | 78136865
8517777957/11588042930 | 15198183/17095670 | 0:Nlo | 264794788
15198183/17095670 | 9/10 | 0:Nhi | 23541390
9/10 | 58500314704871/61159570314300 | 0:Nhi | 150633806
58500314704871/61159570314300 |
  47019601757499907615793086464/45854067897125248845549913075 | J1 | 193354539
47019601757499907615793086464/45854067897125248845549913075 |
  22690788664147968/22117048082576075 | 1:Q | 1322804
22690788664147968/22117048082576075 | 11345394332073984/11058524040373975 | J1 | 2
11345394332073984/11058524040373975 | 26/25 | 1:A | 34822820
26/25 |
  4034739713560607491456500918795294307770817468599/375106972775367881489950635530
  4816130306312470925 | 1:A | 85588304
4034739713560607491456500918795294307770817468599/37510697277536788148995063553048
  16130306312470925 | 2927580987837907406022111/2717159183478951301872325 | D0:Nlo
  | 4207033
2927580987837907406022111/2717159183478951301872325 | 27/25 | JD0 | 5385037
27/25 | 29/25 | JD0 | 114007881
Cell sum 993278717.
Leaf R0001100001111111100: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/546230 | B1 | 19034449
310167/546230 | 15198183/17165270 | 0:Nlo | 339473734
15198183/17165270 | 9/10 | 0:Nhi | 30889437
9/10 | 524409463/550092600 | 0:Nhi | 140882820
524409463/550092600 | 1030808475750983/1036312566903900 | J1 | 121945798
1030808475750983/1036312566903900 | 41546817/41195530 | D0:Nhi | 35664285
41546817/41195530 | 26/25 | D0:Nlo | 74370370
26/25 | 359528637802938892714881/335337686854573048810075 | D0:Nlo | 76751124
359528637802938892714881/335337686854573048810075 | 27/25 | D0:Nlo | 17688818
Cell sum 856700835.
Leaf R0001100001111111101: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/495830 | B1 | 37483448
310167/495830 | 15198183/17095670 | 0:Nlo | 342991715
15198183/17095670 | 9/10 | 0:Nhi | 23541390
9/10 | 524409463/550092600 | 0:Nhi | 140599126
524409463/550092600 | 3593542723/3616648200 | J1 | 118957920
3593542723/3616648200 | 22631817/21834730 | D0:Nhi | 96976794
22631817/21834730 | 26/25 | D0:Nlo | 6335730
26/25 | 15198183/14540270 | D0:Nlo | 9485432
15198183/14540270 | 359528637802938892714881/335337686854573048810075 | D0:Nhi |
  52386306
359528637802938892714881/335337686854573048810075 |
  324074316500538892714881/301418144998573048810075 | D0:Nhi | 5836464
324074316500538892714881/301418144998573048810075 | 27/25 | D0:Nlo | 8282223
27/25 | 29/25 | D0:Nlo | 122204836
Cell sum 965081384.
Leaf R0001100001111111110: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/546230 | B1 | 19034449
310167/546230 | 9089613117/13028131730 | J0 | 61123587
9089613117/13028131730 | 15198183/17165270 | 0:Nlo | 278293789
15198183/17165270 | 9/10 | 0:Nhi | 30889437
9/10 | 2171169/2279210 | 0:Nhi | 138667523
2171169/2279210 | 11345394332073984/11058524040373975 | J1 | 206939858
11345394332073984/11058524040373975 | 26/25 | 1:A | 34822820
26/25 |
  29558823414330765102358954920526979760362301/27456934432800477991553806745666833
  111446575 | 1:A | 91283249
29558823414330765102358954920526979760362301/2745693443280047799155380674566683311
  1446575 | 27/25 | JD0 | 8258899
Cell sum 869313611.
Leaf R00011000011111111110: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/495830 | B1 | 37483448
310167/495830 | 8517777957/11588042930 | J0 | 78136865
