Exact cubic-plus-plane whole-source convex certificate. Every number is rational; all feasible vertices are included.

| bin | b lower | b upper | initial gamma | A_C | normalized capacity upper | pieces |
|---|---|---|---|---|---|---|
|4|761/1250|3069/5000|42995373/100000000|39359807/100000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|4|3069/5000|1547/2500|39359807/100000000|35884811/100000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|4|1547/2500|3119/5000|35884811/100000000|16285193/50000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|4|3119/5000|393/625|16285193/50000000|2941653/10000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|4|393/625|3169/5000|2941653/10000000|5284649/20000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|4|3169/5000|1597/2500|5284649/20000000|2359053/10000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|4|1597/2500|46764900000/72816633317|2359053/10000000|10870531/50000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|4|46764900000/72816633317|3219/5000|10870531/50000000|2124303/10000000|[3, 3, (3, 4)]|[4, 0, (3, 4)]|22|
|4|3219/5000|71946000000/111172844567|2124303/10000000|10646907/50000000|[4, 0, (3, 4)]|[4, 0, (3, 4)]|22|
|4|71946000000/111172844567|811/1250|10646907/50000000|10334047/50000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|18|
|4|811/1250|41368950000/63465451967|10334047/50000000|19539153/100000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|18|
|4|41368950000/63465451967|3269/5000|19539153/100000000|150599/800000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|12|
|4|3269/5000|1647/2500|150599/800000|17068959/100000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|12|
|4|1647/2500|3319/5000|17068959/100000000|7700173/50000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|12|
|4|3319/5000|418/625|7700173/50000000|2763807/20000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|12|
|4|418/625|36422662500/54247777021|2763807/20000000|3292447/25000000|[4, 2, (3, 4)]|[4, 3, (3, 4)]|12|
|4|36422662500/54247777021|3369/5000|3292447/25000000|3196049/25000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|4|3369/5000|1697/2500|3196049/25000000|479803/4000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|4|1697/2500|3419/5000|479803/4000000|1123109/10000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|4|3419/5000|861/1250|1123109/10000000|5246121/50000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|4|861/1250|3469/5000|5246121/50000000|9778531/100000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|4|3469/5000|1747/2500|9778531/100000000|2272489/25000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|4|1747/2500|3519/5000|2272489/25000000|4213259/50000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|4|3519/5000|443/625|4213259/50000000|7788217/100000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|4|443/625|3569/5000|7788217/100000000|7175053/100000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|4|3569/5000|53959500000/75199844567|7175053/100000000|3365953/50000000|[4, 3, (3, 4)]|[4, 3, (2, 3)]|6|
|4|53959500000/75199844567|1797/2500|0|0|None|None|0|
|4|1797/2500|18/25|0|0|None|None|0|
|5|2961/5000|1493/2500|19728321/50000000|40069573/100000000|[3, 3, (1, 4)]|[3, 3, (1, 4)]|32|
|5|1493/2500|93754631250/155805644567|40069573/100000000|40630321/100000000|[3, 3, (1, 4)]|[3, 3, (1, 3)]|32|
|5|93754631250/155805644567|3011/5000|40630321/100000000|20061157/50000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|5|3011/5000|759/1250|20061157/50000000|6959287/20000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|5|759/1250|3061/5000|6959287/20000000|14924823/50000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|5|3061/5000|1543/2500|14924823/50000000|12640973/50000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|5|1543/2500|3111/5000|12640973/50000000|2636667/12500000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|5|3111/5000|197851500000/316192123943|2636667/12500000|1252003/6250000|[3, 3, (3, 4)]|[4, 0, (3, 4)]|26|
|5|197851500000/316192123943|392/625|1252003/6250000|5010557/25000000|[4, 0, (3, 4)]|[4, 0, (3, 4)]|22|
|5|392/625|3161/5000|5010557/25000000|20139261/100000000|[4, 0, (3, 4)]|[4, 0, (3, 4)]|22|
|5|3161/5000|43392431250/68527951967|20139261/100000000|10085247/50000000|[4, 0, (3, 4)]|[4, 0, (3, 4)]|22|
|5|43392431250/68527951967|74643975000/117584332067|10085247/50000000|10114151/50000000|[4, 0, (3, 4)]|[4, 0, (3, 4)]|16|
|5|74643975000/117584332067|1593/2500|10114151/50000000|4793757/25000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|12|
|5|1593/2500|3211/5000|4793757/25000000|17062979/100000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|12|
|5|3211/5000|809/1250|17062979/100000000|3015507/20000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|12|
|5|809/1250|3261/5000|3015507/20000000|13218697/100000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|12|
|5|3261/5000|1643/2500|13218697/100000000|44869/390625|[4, 2, (3, 4)]|[4, 2, (3, 4)]|12|
|5|1643/2500|37434403125/56779027021|44869/390625|10796733/100000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|12|
|5|37434403125/56779027021|3311/5000|10796733/100000000|9975239/100000000|[4, 2, (3, 4)]|[4, 3, (3, 4)]|6|
|5|3311/5000|417/625|9975239/100000000|9132509/100000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|5|417/625|3361/5000|9132509/100000000|2081741/25000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|5|3361/5000|1693/2500|2081741/25000000|1511721/20000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|5|1693/2500|3411/5000|1511721/20000000|853429/12500000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|5|3411/5000|859/1250|853429/12500000|3066723/50000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|5|859/1250|3461/5000|3066723/50000000|1095329/20000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|5|3461/5000|1743/2500|1095329/20000000|485703/10000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|5|1743/2500|55982981250/80262344567|485703/10000000|2410521/50000000|[4, 3, (3, 4)]|[4, 3, (2, 3)]|6|
|5|55982981250/80262344567|3511/5000|0|0|None|None|0|
|5|3511/5000|442/625|0|0|None|None|0|
|5|442/625|3561/5000|0|0|None|None|0|
|5|3561/5000|1793/2500|0|0|None|None|0|
|5|1793/2500|18/25|0|0|None|None|0|
|6|2977/5000|1501/2500|39027049/100000000|39627469/100000000|[3, 3, (1, 4)]|[3, 3, (1, 4)]|32|
|6|1501/2500|95778112500/158336894567|39627469/100000000|40171861/100000000|[3, 3, (1, 4)]|[3, 3, (1, 3)]|32|
|6|95778112500/158336894567|3027/5000|40171861/100000000|39657691/100000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|6|3027/5000|763/1250|39657691/100000000|34690553/100000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|6|763/1250|3077/5000|34690553/100000000|30055637/100000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|6|3077/5000|1551/2500|30055637/100000000|25752941/100000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|6|1551/2500|3127/5000|25752941/100000000|10891233/50000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|6|3127/5000|104321700000/165496357309|10891233/50000000|5041237/25000000|[3, 3, (3, 4)]|[4, 0, (3, 4)]|26|
|6|104321700000/165496357309|394/625|5041237/25000000|630177/3125000|[4, 0, (3, 4)]|[4, 0, (3, 4)]|22|
|6|394/625|3177/5000|630177/3125000|20295291/100000000|[4, 0, (3, 4)]|[4, 0, (3, 4)]|22|
|6|3177/5000|77341950000/121464569567|20295291/100000000|20346213/100000000|[4, 0, (3, 4)]|[4, 0, (3, 4)]|22|
|6|77341950000/121464569567|45415912500/71059201967|20346213/100000000|19267031/100000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|18|
