Exact whole-source convex certificate. Every number is rational; maxima include all feasible vertices.

| bin | b lower | b upper | initial gamma | normalized capacity upper | pieces |
|---|---|---|---|---|---|
|3|6203/10000|6253/10000|8647099/25000000|30355683/100000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|3|6253/10000|6303/10000|30355683/100000000|26410941/100000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|3|6303/10000|6353/10000|26410941/100000000|22754169/100000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|3|6353/10000|6403/10000|22754169/100000000|19385367/100000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|3|6403/10000|6453/10000|19385367/100000000|2038067/12500000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|3|6453/10000|6503/10000|2038067/12500000|14464943/100000000|[3, 1, (3, 4)]|[4, 1, (3, 4)]|9|
|3|6503/10000|5620781250/8584350281|14464943/100000000|3368429/25000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|9|
|3|5620781250/8584350281|6553/10000|3368429/25000000|13358841/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|6|
|3|6553/10000|6603/10000|13358841/100000000|6149737/50000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|6|
|3|6603/10000|6653/10000|6149737/50000000|282171/2500000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|6|
|3|6653/10000|6703/10000|282171/2500000|516047/5000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|6|
|3|6703/10000|5058703125/7508611003|516047/5000000|9687139/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|6|
|3|5058703125/7508611003|6753/10000|9687139/100000000|376071/4000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|3|6753/10000|6803/10000|376071/4000000|8529343/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|3|6803/10000|6853/10000|8529343/100000000|1540729/20000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|3|6853/10000|6903/10000|1540729/20000000|6923097/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|3|6903/10000|6953/10000|6923097/100000000|6184331/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|3|6953/10000|7003/10000|6184331/100000000|5487237/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|3|7003/10000|7053/10000|5487237/100000000|2415907/50000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|3|7053/10000|7103/10000|2415907/50000000|263629/6250000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|3|7103/10000|7153/10000|263629/6250000|729197/20000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|3|7153/10000|18/25|729197/20000000|3146227/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|3|
|4|5933/10000|5983/10000|19184267/50000000|9754489/25000000|[3, 0, (1, 3)]|[3, 0, (1, 3)]|16|
|4|5983/10000|6033/10000|9754489/25000000|9918207/25000000|[3, 0, (1, 3)]|[3, 0, (1, 3)]|16|
|4|6033/10000|6083/10000|9918207/25000000|806663/2000000|[3, 0, (1, 3)]|[3, 0, (1, 3)]|16|
|4|6083/10000|6133/10000|806663/2000000|20499461/50000000|[3, 0, (1, 3)]|[3, 0, (1, 3)]|16|
|4|6133/10000|13489875000/21896342081|20499461/50000000|8274261/20000000|[3, 0, (1, 3)]|[3, 0, (1, 3)]|16|
|4|13489875000/21896342081|6183/10000|8274261/20000000|4087053/10000000|[3, 0, (3, 4)]|[3, 0, (3, 4)]|13|
|4|6183/10000|24281775000/39117093487|4087053/10000000|10108847/25000000|[3, 0, (3, 4)]|[3, 0, (3, 4)]|13|
|4|24281775000/39117093487|6233/10000|10108847/25000000|38178383/100000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|4|6233/10000|6283/10000|38178383/100000000|16975173/50000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|4|6283/10000|6333/10000|16975173/50000000|29974279/100000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|4|6333/10000|6383/10000|29974279/100000000|26250181/100000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|4|6383/10000|6433/10000|26250181/100000000|22778053/100000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|4|6433/10000|6483/10000|22778053/100000000|3911579/20000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|4|6483/10000|6533/10000|3911579/20000000|8294853/50000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|4|6533/10000|6583/10000|8294853/50000000|13873487/100000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|4|6583/10000|6633/10000|13873487/100000000|5981759/50000000|[3, 1, (3, 4)]|[4, 1, (3, 4)]|9|
|4|6633/10000|6295275000/9428100281|5981759/50000000|5516621/50000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|9|
|4|6295275000/9428100281|6683/10000|5516621/50000000|5456333/50000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|6|
|4|6683/10000|6733/10000|5456333/50000000|619473/6250000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|6|
|4|6733/10000|6783/10000|619473/6250000|358409/4000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|6|
|4|6783/10000|5395950000/7930486003|358409/4000000|8574417/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|6|
