| id | d | E | m | mu | B | r | upper lines (slope,intercept) |
| 51 | 5 | 6 | 2 | 1 | 4 | 1149/1000 | (1149/1000,247/250); (5/4,92/125); (3/2,169/500); (5/3,229/1000); (7/4,39/200); (2,19/200); (5/2,0) |
| 52 | 5 | 6 | 3 | 3 | 3 | 623/500 | (623/500,719/1000); (3/2,169/500); (5/3,229/1000); (7/4,39/200); (2,19/200); (5/2,0) |
| 53 | 5 | 6 | 4 | 6 | 2 | 33/25 | (33/25,76/125); (3/2,169/500); (5/3,229/1000); (7/4,39/200); (2,19/200); (5/2,0) |
| 54 | 5 | 6 | 5 | 10 | 1 | 69/50 | (69/50,207/500); (3/2,59/200); (2,19/200); (5/2,0) |
| 55 | 5 | 7 | 3 | 2 | 11/3 | 623/500 | (623/500,39/40); (5/4,193/200); (3/2,101/200); (5/3,71/250); (7/4,117/500); (2,3/20); (5/2,0) |
| 56 | 5 | 7 | 4 | 4 | 3 | 33/25 | (33/25,77/100); (3/2,101/200); (5/3,289/1000); (7/4,239/1000); (2,3/20); (5/2,0) |
| 57 | 5 | 7 | 5 | 6 | 13/5 | 69/50 | (69/50,673/1000); (3/2,101/200); (5/3,293/1000); (7/4,121/500); (2,3/20); (5/2,0) |
| 58 | 5 | 7 | 6 | 8 | 7/3 | 1431/1000 | (5/4,128/125); (1431/1000,301/500); (3/2,101/200); (5/3,299/1000); (7/4,123/500); (2,3/20); (5/2,0) |
| 59 | 5 | 7 | 7 | 11 | 13/7 | 369/250 | (369/250,539/1000); (3/2,101/200); (5/3,277/1000); (7/4,237/1000); (2,3/20); (5/2,0) |
| 60 | 5 | 7 | 8 | 14 | 3/2 | 379/250 | (379/250,483/1000); (5/3,34/125); (7/4,117/500); (2,3/20); (5/2,0) |
| 61 | 5 | 7 | 9 | 17 | 11/9 | 194/125 | (1,1079/1000); (3/2,117/250); (5/3,133/500); (7/4,117/500); (2,3/20); (5/2,0) |
| 62 | 5 | 7 | 10 | 20 | 1 | 317/200 | (317/200,42/125); (5/3,133/500); (7/4,117/500); (2,3/20); (5/2,0) |
| 63 | 5 | 7 | 11 | 24 | 7/11 | 202/125 | (202/125,139/500); (2,3/20); (5/2,0) |
| 64 | 5 | 7 | 12 | 28 | 1/3 | 411/250 | (2,3/20); (5/2,0) |
| 65 | 5 | 7 | 13 | 32 | 1/13 | 1671/1000 | (5/2,0) |
| 66 | 6 | 6 | 1 | 0 | 6 | 1 | (1,198/125); (5/4,187/250); (3/2,357/1000); (5/3,23/100); (7/4,39/200); (2,19/200); (5/2,0) |
| 67 | 6 | 7 | 2 | 1 | 5 | 1123/1000 | (1123/1000,703/500); (5/4,499/500); (3/2,101/200); (5/3,42/125); (7/4,131/500); (2,3/20); (5/2,0) |
| 68 | 6 | 7 | 3 | 3 | 4 | 1201/1000 | (1201/1000,223/200); (5/4,993/1000); (3/2,101/200); (5/3,42/125); (7/4,131/500); (2,3/20); (5/2,0) |
| 69 | 6 | 7 | 4 | 6 | 3 | 63/50 | (63/50,121/125); (3/2,101/200); (5/3,42/125); (7/4,131/500); (2,3/20); (5/2,0) |
| 70 | 6 | 7 | 5 | 10 | 2 | 327/250 | (327/250,801/1000); (3/2,101/200); (5/3,42/125); (7/4,131/500); (2,3/20); (5/2,0) |
| 71 | 6 | 7 | 6 | 15 | 1 | 1349/1000 | (5/3,42/125); (7/4,131/500); (2,3/20); (5/2,0) |
