FAMILY Q.hmin=37/200.
Grid0=131/900,1/2,1,2,4,8,16;grid1=37/208,1/2,1,2,4,8;grid2=1609/5400,1/2,1,2,4,8.
Splits: parent tag | coordinate | midpoint
1.3.4 | 2 | 3
1.4.4 | 1 | 3
1.4.40 | 2 | 3
2.3.4 | 2 | 3
2.3.40 | 1 | 3/2
2.3.400 | 2 | 5/2
2.3.401 | 2 | 5/2
2.4.4 | 1 | 3
2.4.40 | 2 | 3
2.4.400 | 1 | 5/2
2.4.4000 | 2 | 5/2
2.4.40001 | 0 | 3/4
2.4.4001 | 2 | 5/2
2.4.40011 | 0 | 3/4
2.4.401 | 1 | 5/2
2.4.4010 | 2 | 7/2
2.4.4011 | 2 | 7/2
2.4.40110 | 0 | 3/4
2.4.41 | 2 | 3
2.4.411 | 1 | 7/2
2.4.4110 | 2 | 7/2
2.4.41100 | 0 | 3/4
Rectangles: tag | l0 | u0 | l1 | u1 | l2 | u2 | h1 | h2 | total upper numerator
0 | 769/1000 | B1 | 1590319480
769/1000 | 5383/6000 | 0:N5lo | 2781264738
5383/6000 | 9/10 | 0:N5hi | 62384898
9/10 | 99/100 | 0:N5hi | 2641142941
99/100 | 236401/234000 | B11/25 | 624837630
236401/234000 | 709203/700000 | 1:H3lip | 89035761
709203/700000 | 102137/100000 | 1:H3 | 224004551
102137/100000 | 26/25 | 1:Mref | 451204742
26/25 | 107/100 | 1:Mref | 551280955
107/100 | 27/25 | 2:E1 | 143983161
27/25 | 29/25 | 2:E1 | 672794928
Rectangle 2.4.40010. l | r | polynomial | upper numerator
0 | 769/1000 | B1 | 1590319480
769/1000 | 5383/6000 | 0:N5lo | 2781264738
5383/6000 | 9/10 | 0:N5hi | 62384898
9/10 | 99/100 | 0:N5hi | 2669231631
99/100 | 101/100 | B11/25 | 616308019
101/100 | 134062572306432/130915750919375 | 2:Qbal | 404281178
134062572306432/130915750919375 | 6093753286656/5950715950625 | B11/25 | 2
6093753286656/5950715950625 | 26/25 | 2:E1 | 366162092
26/25 | 27/25 | 2:E1 | 676260062
27/25 | 28/25 | 2:E1 | 454772272
28/25 | 29/25 | 1:Mref | 292729617
Rectangle 2.4.400110. l | r | polynomial | upper numerator
0 | 272/375 | B1 | 1056242053
272/375 | 112/125 | 0:N5lo | 3177123893
112/125 | 9/10 | 0:N5hi | 87731233
9/10 | 99/100 | 0:N5hi | 2669231631
99/100 | 102137/100000 | B11/25 | 1000840862
102137/100000 | 1749/1700 | 2:Qbal | 246040361
1749/1700 | 43773/42500 | 1:H3 | 33032287
43773/42500 | 164503153016832/159101473799375 | 2:Qbal | 111508592
164503153016832/159101473799375 | 82251576508416/79550736896875 | 1:H3 | 2
82251576508416/79550736896875 | 26/25 | 2:E1 | 153357354
26/25 | 27/25 | 2:E1 | 733256174
27/25 | 29/25 | 2:E1 | 672794928
Rectangle 2.4.400111. l | r | polynomial | upper numerator
0 | 769/1000 | B1 | 1590319480
769/1000 | 5383/6000 | 0:N5lo | 2781264738
5383/6000 | 9/10 | 0:N5hi | 62384898
9/10 | 99/100 | 0:N5hi | 2641142941
99/100 | 1016407/1000000 | B11/25 | 829812619
1016407/1000000 | 865203/850000 | 1:H3lip | 44502631
865203/850000 | 3172411/3100000 | 1:H3 | 152055499
3172411/3100000 | 409259514789888/397753684484375 | 1:Mref | 152269963
409259514789888/397753684484375 | 1597211/1550000 | 2:E1 | 38930239
1597211/1550000 | 26/25 | 1:Mref | 220917304
26/25 | 107/100 | 1:Mref | 518378367
107/100 | 27/25 | 2:E1 | 128758836
27/25 | 23/20 | 2:E1 | 551322370
23/20 | 29/25 | 1:Mref | 44432260
Rectangle 2.4.401000. l | r | polynomial | upper numerator
0 | 272/375 | B1 | 1056242053
272/375 | 112/125 | 0:N5lo | 3177123893
112/125 | 9/10 | 0:N5hi | 87731233
9/10 | 99/100 | 0:N5hi | 2669231631
99/100 | 479/468 | B11/25 | 1075937907
479/468 | 1437/1400 | 1:H3lip | 97534426
1437/1400 | 5269/5100 | 1:H3 | 196673075
5269/5100 | 26/25 | 1:Mref | 199334101
26/25 | 97471866863616/93643598336875 | 1:Mref | 24298724
97471866863616/93643598336875 | 27/25 | 2:E1 | 770827925
27/25 | 29/25 | 2:E1 | 583150558
Rectangle 2.4.401001. l | r | polynomial | upper numerator
0 | 769/1000 | B1 | 1590319480
769/1000 | 5383/6000 | 0:N5lo | 2781264738
5383/6000 | 9/10 | 0:N5hi | 62384898
9/10 | 99/100 | 0:N5hi | 2641142941
99/100 | 236401/234000 | B11/25 | 624837630
236401/234000 | 709203/700000 | 1:H3lip | 89035761
709203/700000 | 51/50 | 1:H3 | 185925824
51/50 | 26/25 | 1:Mref | 489283831
26/25 | 107/100 | 1:Mref | 551280955
107/100 | 27/25 | 2:E1 | 146886246
27/25 | 29/25 | 2:E1 | 583150558
Rectangle 2.4.401010. l | r | polynomial | upper numerator
0 | 272/375 | B1 | 1056242053
272/375 | 112/125 | 0:N5lo | 3177123893
112/125 | 9/10 | 0:N5hi | 87731233
9/10 | 99/100 | 0:N5hi | 2669231631
99/100 | 479/468 | B11/25 | 1075937907
479/468 | 1437/1400 | 1:H3lip | 97534426
1437/1400 | 5269/5100 | 1:H3 | 196673075
5269/5100 | 26/25 | 1:Mref | 199334101
26/25 | 21/20 | 1:Mref | 263963812
21/20 | 27/25 | 2:E1 | 572713258
27/25 | 29/25 | 2:E1 | 508620125
Rectangle 2.4.401011. l | r | polynomial | upper numerator
0 | 769/1000 | B1 | 1590319480
769/1000 | 5383/6000 | 0:N5lo | 2781264738
5383/6000 | 9/10 | 0:N5hi | 62384898
9/10 | 99/100 | 0:N5hi | 2641142941
99/100 | 236401/234000 | B11/25 | 624837630
236401/234000 | 709203/700000 | 1:H3lip | 89035761
709203/700000 | 51/50 | 1:H3 | 185925824
51/50 | 26/25 | 1:Mref | 489283831
26/25 | 107/100 | 1:Mref | 551280955
107/100 | 27/25 | 2:E1 | 149853115
27/25 | 29/25 | 2:E1 | 508620125
Rectangle 2.4.401100. l | r | polynomial | upper numerator
0 | 272/375 | B1 | 1056242053
272/375 | 112/125 | 0:N5lo | 3177123893
112/125 | 9/10 | 0:N5hi | 87731233
9/10 | 99/100 | 0:N5hi | 2669231631
99/100 | 583/568 | B11/25 | 1179645472
583/568 | 1749/1700 | 1:H3lip | 81815576
1749/1700 | 17291/16700 | 1:H3 | 195101104
17291/16700 | 26/25 | 1:Mref | 133145068
26/25 | 190201/182500 | 1:Mref | 59921432
190201/182500 | 27/25 | 2:E1 | 735003287
27/25 | 29/25 | 2:E1 | 583150558
Rectangle 2.4.401101. l | r | polynomial | upper numerator
0 | 769/1000 | B1 | 1590319480
769/1000 | 5383/6000 | 0:N5lo | 2781264738
5383/6000 | 9/10 | 0:N5hi | 62384898
9/10 | 99/100 | 0:N5hi | 2641142941
99/100 | 288401/284000 | B11/25 | 798975084
288401/284000 | 865203/850000 | 1:H3lip | 75917764
865203/850000 | 3172411/3100000 | 1:H3 | 152055499
3172411/3100000 | 26/25 | 1:Mref | 412422156
26/25 | 27/25 | 1:Mref | 648888478
27/25 | 29/25 | 2:E1 | 515179683
Rectangle 2.4.401110. l | r | polynomial | upper numerator
0 | 272/375 | B1 | 1056242053
272/375 | 112/125 | 0:N5lo | 3177123893
112/125 | 9/10 | 0:N5hi | 87731233
9/10 | 99/100 | 0:N5hi | 2669231631
99/100 | 583/568 | B11/25 | 1179645472
583/568 | 1749/1700 | 1:H3lip | 81815576
1749/1700 | 6413/6200 | 1:H3 | 163868210
6413/6200 | 26/25 | 1:Mref | 164561465
26/25 | 53/50 | 1:Mref | 483181237
53/50 | 27/25 | 2:E1 | 338130031
27/25 | 29/25 | 2:E1 | 508620125
Rectangle 2.4.401111. l | r | polynomial | upper numerator
0 | 769/1000 | B1 | 1590319480
769/1000 | 5383/6000 | 0:N5lo | 2781264738
5383/6000 | 9/10 | 0:N5hi | 62384898
9/10 | 99/100 | 0:N5hi | 2641142941
99/100 | 288401/284000 | B11/25 | 798975084
288401/284000 | 865203/850000 | 1:H3lip | 75917764
865203/850000 | 3172411/3100000 | 1:H3 | 152055499
3172411/3100000 | 26/25 | 1:Mref | 412422156
26/25 | 27/25 | 1:Mref | 648888478
27/25 | 29/25 | 2:E1 | 448427227
Rectangle 2.4.410. l | r | polynomial | upper numerator
0 | 769/1000 | B1 | 1590319480
769/1000 | 5383/6000 | 0:N5lo | 2781264738
5383/6000 | 9/10 | 0:N5hi | 62384898
9/10 | 99/100 | 0:N5hi | 2669231631
99/100 | 2040507/2000000 | B11/25 | 961928817
2040507/2000000 | 821616640524288/795507368996875 | 2:Qbal | 388178523
821616640524288/795507368996875 | 410808320262144/397753684484375 | 1:H3 | 2
410808320262144/397753684484375 | 26/25 | 2:E1 | 179383795
26/25 | 27/25 | 2:E1 | 715919795
27/25 | 1749/1600 | 1:Mref | 157143223
1749/1600 | 29/25 | 1:Mref | 415484032
Rectangle 2.4.411000. l | r | polynomial | upper numerator
0 | 272/375 | B1 | 1056242053
272/375 | 112/125 | 0:N5lo | 3177123893
112/125 | 9/10 | 0:N5hi | 87731233
9/10 | 99/100 | 0:N5hi | 2669231631
99/100 | 2418507/2350000 | B11/25 | 1279244550
2418507/2350000 | 2061/2000 | 1:H3lip | 43944328
2061/2000 | 1036503/1000000 | 1:H3 | 179830687
1036503/1000000 | 486909772038144/468217991684375 | 1:Mref | 98527494
486909772038144/468217991684375 | 26/25 | 2:E1 | 2159069
26/25 | 27/25 | 2:E1 | 776751328
27/25 | 57/50 | 2:E1 | 491082815
57/50 | 29/25 | 1:Mref | 76151380
Rectangle 2.4.411001. l | r | polynomial | upper numerator
0 | 769/1000 | B1 | 1590319480
769/1000 | 5383/6000 | 0:N5lo | 2781264738
5383/6000 | 9/10 | 0:N5hi | 62384898
9/10 | 99/100 | 0:N5hi | 2641142941
99/100 | 1198407/1175000 | B11/25 | 950384702
1198407/1175000 | 1021203/1000000 | 1:H3lip | 39429174
1021203/1000000 | 3744411/3650000 | 1:H3 | 131796739
3744411/3650000 | 103/100 | 1:Mref | 115203174
103/100 | 965084788555776/936435983396875 | 2:Qbal | 15546026
965084788555776/936435983396875 | 482542394277888/468217991684375 | 1:Mref | 1
482542394277888/468217991684375 | 1883211/1825000 | 2:E1 | 33418359
1883211/1825000 | 26/25 | 1:Mref | 188470103
26/25 | 107/100 | 1:Mref | 488077667
107/100 | 27/25 | 2:E1 | 111900090
27/25 | 113/100 | 2:E1 | 337233870
113/100 | 288401/250000 | 1:Mref | 78001622
288401/250000 | 29/25 | 1:Mspan | 15430641
Rectangle 2.4.41101. l | r | polynomial | upper numerator
0 | 769/1000 | B1 | 1590319480
769/1000 | 5383/6000 | 0:N5lo | 2781264738
5383/6000 | 9/10 | 0:N5hi | 62384898
9/10 | 99/100 | 0:N5hi | 2669231631
99/100 | 687/668 | B11/25 | 1253359154
687/668 | 2061/2000 | 1:H3lip | 70444145
2061/2000 | 310723/300000 | 1:H3 | 156725891
310723/300000 | 26/25 | 1:Mref | 123646749
26/25 | 107/100 | 1:Mref | 639360088
107/100 | 27/25 | 2:E1 | 146183943
27/25 | 29/25 | 2:E1 | 494520128
Rectangle 2.4.4111. l | r | polynomial | upper numerator
0 | 769/1000 | B1 | 1590319480
769/1000 | 5383/6000 | 0:N5lo | 2781264738
5383/6000 | 9/10 | 0:N5hi | 62384898
9/10 | 99/100 | 0:N5hi | 2669231631
99/100 | 2782507/2700000 | B11/25 | 1330917787
2782507/2700000 | 2373/2300 | 1:H3lip | 38819327
2373/2300 | 1192503/1150000 | 1:H3 | 157143973
1192503/1150000 | 560192651526144/538682298884375 | 1:Mref | 85797863
560192651526144/538682298884375 | 26/25 | 2:E1 | 1876700
26/25 | 21/20 | 2:E1 | 246318355
21/20 | 107/100 | 1:Mref | 355170211
107/100 | 27/25 | 2:E1 | 124844172
27/25 | 2061/1900 | 2:E1 | 50302589
2061/1900 | 229/200 | 1:Mref | 334424318
229/200 | 29/25 | 1:Mspan | 30447801
Rectangle 2.4.50000. l | r | polynomial | upper numerator
0 | 769/1000 | B1 | 1590319480
769/1000 | 5383/6000 | 0:N5lo | 2781264738
5383/6000 | 9/10 | 0:N5hi | 62384898
9/10 | 99/100 | 0:N5hi | 2669231631
99/100 | 479/468 | B11/25 | 1075937907
479/468 | 1437/1400 | 1:H3lip | 97534426
1437/1400 | 5269/5100 | 1:H3 | 196673075
5269/5100 | 26/25 | 1:Mref | 199334101
26/25 | 53/50 | 1:Mref | 503637081
53/50 | 27/25 | 2:E1 | 366628087
27/25 | 29/25 | 2:E1 | 446689771
Rectangle 2.4.50001. l | r | polynomial | upper numerator
0 | 769/1000 | B1 | 1590319480
769/1000 | 5383/6000 | 0:N5lo | 2781264738
5383/6000 | 9/10 | 0:N5hi | 62384898
9/10 | 99/100 | 0:N5hi | 2669231631
99/100 | 583/568 | B11/25 | 1179645472
583/568 | 1749/1700 | 1:H3lip | 81815576
1749/1700 | 6413/6200 | 1:H3 | 163868210
6413/6200 | 26/25 | 1:Mref | 164561465
26/25 | 107/100 | 1:Mref | 678726685
107/100 | 27/25 | 2:E1 | 155983218
27/25 | 29/25 | 2:E1 | 446689771
Rectangle 2.4.5001. l | r | polynomial | upper numerator
0 | 769/1000 | B1 | 1590319480
769/1000 | 5383/6000 | 0:N5lo | 2781264738
5383/6000 | 9/10 | 0:N5hi | 62384898
9/10 | 99/100 | 0:N5hi | 2669231631
99/100 | 583/568 | B11/25 | 1179645472
583/568 | 1749/1700 | 1:H3lip | 81815576
1749/1700 | 6413/6200 | 1:H3 | 163868210
6413/6200 | 26/25 | 1:Mref | 164561465
26/25 | 107/100 | 1:Mref | 721379740
107/100 | 27/25 | 2:E1 | 162383677
27/25 | 29/25 | 2:E1 | 352346619
Rectangle 2.4.501. l | r | polynomial | upper numerator
0 | 769/1000 | B1 | 1590319480
769/1000 | 5383/6000 | 0:N5lo | 2781264738
5383/6000 | 9/10 | 0:N5hi | 62384898
9/10 | 99/100 | 0:N5hi | 2669231631
99/100 | 103/100 | B11/25 | 1310357478
103/100 | 2373/2300 | 1:H3lip | 59797414
2373/2300 | 1243/1200 | 1:H3 | 122849337
1243/1200 | 26/25 | 1:Mref | 121995937
26/25 | 27/25 | 1:Mref | 786078772
27/25 | 29/25 | 2:E1 | 434141278
Rectangle 2.4.51. l | r | polynomial | upper numerator
0 | 769/1000 | B1 | 1590319480
769/1000 | 5383/6000 | 0:N5lo | 2781264738
5383/6000 | 9/10 | 0:N5hi | 62384898
9/10 | 99/100 | 0:N5hi | 2669231631
99/100 | 103/100 | B11/25 | 1310357478
103/100 | 2373/2300 | 1:H3lip | 59797414
2373/2300 | 1243/1200 | 1:H3 | 122849337
1243/1200 | 26/25 | 1:Mref | 121995937
26/25 | 15/14 | 1:Mref | 750829426
15/14 | 27/25 | 2:E1 | 144912871
27/25 | 29/25 | 2:E1 | 286568977
Rectangle 2.5.1. l | r | polynomial | upper numerator
0 | 17501/50000 | B1 | 6436504
17501/50000 | 49327833612288/90864296996875 | 2:Qbal | 65858225
49327833612288/90864296996875 | 24663916806144/45432148484375 | B1 | 1
24663916806144/45432148484375 | 9/10 | 2:E1 | 674441707
9/10 | 26/25 | 2:E1 | 821491847
26/25 | 27/25 | 2:E1 | 344164768
27/25 | 113/100 | 1:Mref | 258088543
113/100 | 29/25 | 1:Mspan | 43079901
Rectangle 2.5.2. l | r | polynomial | upper numerator
0 | 71501/100000 | B1 | 955399063
71501/100000 | 201530737164288/231792911396875 | 2:Qbal | 1673386690
201530737164288/231792911396875 | 100765368582144/115896455684375 | 0:N5lo | 3
100765368582144/115896455684375 | 9/10 | 2:E1 | 285812131
9/10 | 26/25 | 2:E1 | 1309479701
26/25 | 27/25 | 2:E1 | 374137058
27/25 | 113/100 | 1:Mref | 258088543
113/100 | 29/25 | 1:Mspan | 43079901
Rectangle 2.5.3. l | r | polynomial | upper numerator
0 | 769/1000 | B1 | 1590319480
769/1000 | 5383/6000 | 0:N5lo | 2781264738
5383/6000 | 9/10 | 0:N5hi | 62384898
9/10 | 19/20 | 0:N5hi | 1302920303
19/20 | 505936544268288/513650140196875 | 2:Qbal | 890254681
505936544268288/513650140196875 | 252968272134144/256825070084375 | 0:N5hi | 3
252968272134144/256825070084375 | 26/25 | 2:E1 | 889696603
26/25 | 27/25 | 2:E1 | 443121728
27/25 | 113/100 | 1:Mref | 258088543
113/100 | 29/25 | 1:Mspan | 43079901
Rectangle 2.5.4. l | r | polynomial | upper numerator
0 | 769/1000 | B1 | 1590319480
769/1000 | 5383/6000 | 0:N5lo | 2781264738
5383/6000 | 9/10 | 0:N5hi | 62384898
9/10 | 99/100 | 0:N5hi | 2669231631
99/100 | 2768507/2700000 | B11/25 | 1142466036
2768507/2700000 | 1114748158476288/1077364597796875 | 2:Qbal | 294214677
1114748158476288/1077364597796875 | 557374079238144/538682298884375 | B11/25 | 2
557374079238144/538682298884375 | 26/25 | 2:E1 | 133195179
26/25 | 27/25 | 2:E1 | 624987106
27/25 | 113/100 | 1:Mref | 258088543
113/100 | 29/25 | 1:Mspan | 43079901
Rectangle 2.5.5. l | r | polynomial | upper numerator
0 | 769/1000 | B1 | 1590319480
769/1000 | 5383/6000 | 0:N5lo | 2781264738
5383/6000 | 9/10 | 0:N5hi | 62384898
9/10 | 99/100 | 0:N5hi | 2669231631
99/100 | 1623/1568 | B11/25 | 1499839399
1623/1568 | 4869/4700 | 1:H3lip | 31255157
4869/4700 | 17853/17200 | 1:H3 | 61359241
17853/17200 | 26/25 | 1:Mref | 59957584
26/25 | 2373/2200 | 1:Mref | 664849277
2373/2200 | 2482503/2300000 | 1:Mref | 6940566
2482503/2300000 | 27/25 | 2:E1 | 6205482
27/25 | 111/100 | 2:E1 | 194276103
111/100 | 113/100 | 1:Mref | 62912082
113/100 | 29/25 | 1:Mspan | 43079901
Rectangle 3.1.1. l | r | polynomial | upper numerator
0 | 1091/2500 | B1 | 30143467
1091/2500 | 12300249464832/18172859399375 | 2:Qbal | 308427567
12300249464832/18172859399375 | 6150124732416/9086429696875 | 1:N3lo | 1
6150124732416/9086429696875 | 9/10 | 2:E1 | 858428040
9/10 | 26/25 | 2:E1 | 1199647047
26/25 | 27/25 | 2:E1 | 491645448
27/25 | 29/25 | 2:E1 | 1331739734
Rectangle 3.1.2. l | r | polynomial | upper numerator
0 | 24901/50000 | B1 | 75984934
24901/50000 | 33/50 | 1:Mspan | 405180305
33/50 | 174307/250000 | 1:N3lo | 166979018
174307/250000 | 18/25 | 1:N3hi | 116238514
18/25 | 74703/100000 | 1:H3lip | 135284969
74703/100000 | 79/100 | 1:H3 | 218466353
79/100 | 9/10 | 1:Mref | 820089958
9/10 | 24901/25000 | 1:Mref | 1065378796
24901/25000 | 26/25 | 2:E1 | 584599453
26/25 | 27/25 | 2:E1 | 531937628
27/25 | 29/25 | 2:E1 | 1247865743
Rectangle 3.1.3. l | r | polynomial | upper numerator
0 | 24901/50000 | B1 | 75984934
24901/50000 | 33/50 | 1:Mspan | 405180305
33/50 | 174307/250000 | 1:N3lo | 166979018
174307/250000 | 18/25 | 1:N3hi | 116238514
18/25 | 74703/100000 | 1:H3lip | 135284969
74703/100000 | 79/100 | 1:H3 | 218466353
79/100 | 9/10 | 1:Mref | 820089958
9/10 | 26/25 | 1:Mref | 1696144213
26/25 | 1313/1250 | 1:Mref | 166991484
1313/1250 | 27/25 | 2:E1 | 442855631
27/25 | 29/25 | 2:E1 | 1063875255
Rectangle 3.1.4. l | r | polynomial | upper numerator
0 | 24901/50000 | B1 | 75984934
24901/50000 | 33/50 | 1:Mspan | 405180305
33/50 | 174307/250000 | 1:N3lo | 166979018
174307/250000 | 18/25 | 1:N3hi | 116238514
18/25 | 74703/100000 | 1:H3lip | 135284969
74703/100000 | 79/100 | 1:H3 | 218466353
79/100 | 9/10 | 1:Mref | 820089958
9/10 | 26/25 | 1:Mref | 1696144213
26/25 | 19991/18750 | 1:Mref | 442163194
19991/18750 | 27/25 | 2:E1 | 216714593
27/25 | 29/25 | 2:E1 | 780471035
Rectangle 3.1.5. l | r | polynomial | upper numerator
0 | 24901/50000 | B1 | 75984934
24901/50000 | 33/50 | 1:Mspan | 405180305
33/50 | 174307/250000 | 1:N3lo | 166979018
174307/250000 | 18/25 | 1:N3hi | 116238514
18/25 | 74703/100000 | 1:H3lip | 135284969
74703/100000 | 79/100 | 1:H3 | 218466353
79/100 | 9/10 | 1:Mref | 820089958
9/10 | 26/25 | 1:Mref | 1696144213
26/25 | 41591/38750 | 1:Mref | 575512918
41591/38750 | 27/25 | 2:E1 | 107140553
27/25 | 29/25 | 2:E1 | 446689771
Rectangle 3.2.1. l | r | polynomial | upper numerator
0 | 1091/2500 | B1 | 30143467
1091/2500 | 12300249464832/18172859399375 | 2:Qbal | 308427567
12300249464832/18172859399375 | 6150124732416/9086429696875 | B1 | 2
6150124732416/9086429696875 | 9/10 | 2:E1 | 858428040
9/10 | 26/25 | 2:E1 | 1199647047
26/25 | 27/25 | 2:E1 | 491645448
27/25 | 29/25 | 2:E1 | 1331739734
Rectangle 3.2.2. l | r | polynomial | upper numerator
0 | 3791/5000 | B1 | 1440411104
3791/5000 | 9/10 | 2:Qbal | 2218069037
9/10 | 42740830175232/46358582279375 | 2:Qbal | 304818901
42740830175232/46358582279375 | 21370415087616/23179291136875 | 1:H3lip | 2
21370415087616/23179291136875 | 26/25 | 2:E1 | 1569727382
26/25 | 27/25 | 2:E1 | 531937628
27/25 | 29/25 | 2:E1 | 1247865743
Rectangle 3.2.3. l | r | polynomial | upper numerator
0 | 76901/100000 | B1 | 1590464248
76901/100000 | 22/25 | 1:Mspan | 2206370419
22/25 | 538307/600000 | 1:N3lo | 381944726
538307/600000 | 9/10 | 1:N3hi | 60047981
9/10 | 91/100 | 1:N3hi | 220955414
91/100 | 230703/250000 | 1:H3lip | 241635521
230703/250000 | 47/50 | 1:H3 | 275965537
47/50 | 26/25 | 1:Mref | 1632494331
26/25 | 1313/1250 | 1:Mref | 164668035
1313/1250 | 27/25 | 2:E1 | 442855631
27/25 | 29/25 | 2:E1 | 1063875255
Rectangle 3.2.4. l | r | polynomial | upper numerator
0 | 76901/100000 | B1 | 1590464248
76901/100000 | 22/25 | 1:Mspan | 2206370419
22/25 | 538307/600000 | 1:N3lo | 381944726
538307/600000 | 9/10 | 1:N3hi | 60047981
9/10 | 91/100 | 1:N3hi | 220955414
91/100 | 230703/250000 | 1:H3lip | 241635521
230703/250000 | 47/50 | 1:H3 | 275965537
47/50 | 26/25 | 1:Mref | 1632494331
26/25 | 107/100 | 1:Mref | 492383137
107/100 | 27/25 | 2:E1 | 149853115
27/25 | 29/25 | 2:E1 | 780471035
Rectangle 3.2.5. l | r | polynomial | upper numerator
0 | 76901/100000 | B1 | 1590464248
76901/100000 | 22/25 | 1:Mspan | 2206370419
22/25 | 538307/600000 | 1:N3lo | 381944726
538307/600000 | 9/10 | 1:N3hi | 60047981
9/10 | 91/100 | 1:N3hi | 220955414
91/100 | 230703/250000 | 1:H3lip | 241635521
230703/250000 | 47/50 | 1:H3 | 275965537
47/50 | 26/25 | 1:Mref | 1632494331
26/25 | 41591/38750 | 1:Mref | 550156182
41591/38750 | 27/25 | 2:E1 | 107140553
27/25 | 29/25 | 2:E1 | 446689771
Rectangle 3.3.1. l | r | polynomial | upper numerator
0 | 1091/2500 | B1 | 30143467
1091/2500 | 12300249464832/18172859399375 | 2:Qbal | 308427567
12300249464832/18172859399375 | 6150124732416/9086429696875 | B1 | 2
6150124732416/9086429696875 | 9/10 | 2:E1 | 858428040
9/10 | 26/25 | 2:E1 | 1199647047
26/25 | 27/25 | 2:E1 | 491645448
27/25 | 11/10 | 2:E1 | 281209450
11/10 | 230703/200000 | 1:Mref | 793266199
230703/200000 | 29/25 | 1:Mref | 95280600
Rectangle 3.3.2. l | r | polynomial | upper numerator
0 | 3791/5000 | B1 | 1440411104
3791/5000 | 9/10 | 2:Qbal | 2218069037
9/10 | 42740830175232/46358582279375 | 2:Qbal | 304818901
42740830175232/46358582279375 | 21370415087616/23179291136875 | 0:N5hi | 3
21370415087616/23179291136875 | 26/25 | 2:E1 | 1569727382
26/25 | 27/25 | 2:E1 | 531937628
27/25 | 111/100 | 2:E1 | 423427903
111/100 | 230703/200000 | 1:Mref | 643875216
230703/200000 | 29/25 | 1:Mref | 95280600
Rectangle 3.3.3. l | r | polynomial | upper numerator
0 | 1669/2000 | B1 | 2818281613
1669/2000 | 11683/13000 | 0:N5lo | 1759311020
11683/13000 | 9/10 | 0:N5hi | 28939785
9/10 | 49/50 | 0:N5hi | 2253951212
49/50 | 180901/184000 | 2:Qbal | 103403280
180901/184000 | 542703/550000 | 1:H3lip | 93881133
542703/550000 | 1989911/2000000 | 1:H3 | 191292592
1989911/2000000 | 26/25 | 1:Mref | 881550784
26/25 | 53/50 | 1:Mref | 308384609
53/50 | 27/25 | 2:E1 | 287966322
27/25 | 29/25 | 2:E1 | 1063875255
Rectangle 3.3.4. l | r | polynomial | upper numerator
0 | 1669/2000 | B1 | 2818281613
1669/2000 | 11683/13000 | 0:N5lo | 1759311020
11683/13000 | 9/10 | 0:N5hi | 28939785
9/10 | 49/50 | 0:N5hi | 2253951212
49/50 | 542703/550000 | 1:H3lip | 197535621
542703/550000 | 1989911/2000000 | 1:H3 | 191292592
1989911/2000000 | 26/25 | 1:Mref | 881550784
26/25 | 107/100 | 1:Mref | 460981961
107/100 | 27/25 | 2:E1 | 149853115
27/25 | 29/25 | 2:E1 | 780471035
Rectangle 3.3.5. l | r | polynomial | upper numerator
0 | 1669/2000 | B1 | 2818281613
1669/2000 | 11683/13000 | 0:N5lo | 1759311020
11683/13000 | 9/10 | 0:N5hi | 28939785
9/10 | 49/50 | 0:N5hi | 2253951212
49/50 | 542703/550000 | 1:H3lip | 197535621
542703/550000 | 1989911/2000000 | 1:H3 | 191292592
1989911/2000000 | 26/25 | 1:Mref | 881550784
26/25 | 27/25 | 1:Mref | 612646647
27/25 | 29/25 | 2:E1 | 446689771
Rectangle 3.4.1. l | r | polynomial | upper numerator
0 | 9451/25000 | B1 | 11034796
9451/25000 | 53276653387776/90864296996875 | 2:Qbal | 112907886
53276653387776/90864296996875 | 26638326693888/45432148484375 | B1 | 1
26638326693888/45432148484375 | 9/10 | 2:E1 | 749015862
9/10 | 26/25 | 2:E1 | 931297092
26/25 | 27/25 | 2:E1 | 387278800
27/25 | 542703/500000 | 1:Mref | 56527157
542703/500000 | 29/25 | 1:Mref | 556421448
Rectangle 3.4.2. l | r | polynomial | upper numerator
0 | 36451/50000 | B1 | 1094400042
36451/50000 | 205479556939776/231792911396875 | 2:Qbal | 1916847666
205479556939776/231792911396875 | 102739778469888/115896455684375 | 0:N5lo | 4
102739778469888/115896455684375 | 9/10 | 2:E1 | 142083063
9/10 | 26/25 | 2:E1 | 1471169571
26/25 | 27/25 | 2:E1 | 420334163
27/25 | 542703/500000 | 1:Mref | 56527157
542703/500000 | 29/25 | 1:Mref | 556421448
Rectangle 3.4.3. l | r | polynomial | upper numerator
0 | 1669/2000 | B1 | 2818281613
1669/2000 | 11683/13000 | 0:N5lo | 1759311020
11683/13000 | 9/10 | 0:N5hi | 28939785
9/10 | 24/25 | 0:N5hi | 1592442503
24/25 | 509885364043776/513650140196875 | 2:Qbal | 856953532
509885364043776/513650140196875 | 254942682021888/256825070084375 | B11/25 | 2
254942682021888/256825070084375 | 26/25 | 2:E1 | 825590272
26/25 | 27/25 | 2:E1 | 496208987
27/25 | 542703/500000 | 1:Mref | 56527157
542703/500000 | 29/25 | 1:Mref | 556421448
Rectangle 3.4.4. l | r | polynomial | upper numerator
0 | 1669/2000 | B1 | 2818281613
