FAMILY Q.hmin=37/200.
Grid0=131/900,1/2,1,2,4,8,16;grid1=37/208,1/2,1,2,4,8;grid2=1609/5400,1/2,1,2,4,8.
Splits: parent tag | coordinate | midpoint
1.3.4 | 2 | 3
1.4.4 | 1 | 3
1.4.40 | 2 | 3
2.3.4 | 2 | 3
2.3.40 | 1 | 3/2
2.3.400 | 2 | 5/2
2.3.401 | 2 | 5/2
2.4.4 | 1 | 3
2.4.40 | 2 | 3
2.4.400 | 1 | 5/2
2.4.4000 | 2 | 5/2
2.4.40001 | 0 | 3/4
2.4.4001 | 2 | 5/2
2.4.40011 | 0 | 3/4
2.4.401 | 1 | 5/2
2.4.4010 | 2 | 7/2
2.4.4011 | 2 | 7/2
2.4.40110 | 0 | 3/4
2.4.41 | 2 | 3
2.4.411 | 1 | 7/2
2.4.4110 | 2 | 7/2
2.4.41100 | 0 | 3/4
Rectangles: tag | l0 | u0 | l1 | u1 | l2 | u2 | h1 | h2 | total upper numerator
2.4.40100 | 1/2 | 1 | 2 | 5/2 | 3 | 7/2 | 20099/100000 | 1609/5000 | 9981569158
2.4.40101 | 1/2 | 1 | 2 | 5/2 | 7/2 | 4 | 20099/100000 | 1609/5000 | 9925422141
2.4.401100 | 1/2 | 3/4 | 5/2 | 3 | 3 | 7/2 | 20099/100000 | 1609/5000 | 9886530089
2.4.401101 | 3/4 | 1 | 5/2 | 3 | 3 | 7/2 | 23599/100000 | 16799/50000 | 9547213260
2.4.40111 | 1/2 | 1 | 5/2 | 3 | 7/2 | 4 | 20099/100000 | 1609/5000 | 9934136169
2.4.410 | 1/2 | 1 | 3 | 4 | 2 | 3 | 20099/100000 | 1609/5000 | 9969066389
2.4.411000 | 1/2 | 3/4 | 3 | 7/2 | 3 | 7/2 | 20099/100000 | 1609/5000 | 9880795559
2.4.411001 | 3/4 | 1 | 3 | 7/2 | 3 | 7/2 | 23599/100000 | 17799/50000 | 9469023943
2.4.41101 | 1/2 | 1 | 3 | 7/2 | 7/2 | 4 | 20099/100000 | 1609/5000 | 9919137063
2.4.4111 | 1/2 | 1 | 7/2 | 4 | 3 | 4 | 20099/100000 | 17049/50000 | 9805736198
2.4.5 | 1/2 | 1 | 2 | 4 | 4 | 8 | 20099/100000 | 1609/5000 | 9964534074
2.5.1 | 1/2 | 1 | 4 | 8 | 1609/5400 | 1/2 | 20099/100000 | 18049/50000 | 2300816289
2.5.2 | 1/2 | 1 | 4 | 8 | 1/2 | 1 | 20099/100000 | 18049/50000 | 5035071871
2.5.3 | 1/2 | 1 | 4 | 8 | 1 | 2 | 20099/100000 | 18049/50000 | 8350155106
2.5.4 | 1/2 | 1 | 4 | 8 | 2 | 4 | 20099/100000 | 18049/50000 | 9644248260
2.5.5 | 1/2 | 1 | 4 | 8 | 4 | 8 | 20099/100000 | 18049/50000 | 9696731416
3.1.1 | 1 | 2 | 37/208 | 1/2 | 1609/5400 | 1/2 | 27099/100000 | 1609/5000 | 4220031304
3.1.2 | 1 | 2 | 37/208 | 1/2 | 1/2 | 1 | 27099/100000 | 1609/5000 | 4967035624
3.1.3 | 1 | 2 | 37/208 | 1/2 | 1 | 2 | 27099/100000 | 1609/5000 | 4860394996
3.1.4 | 1 | 2 | 37/208 | 1/2 | 2 | 4 | 27099/100000 | 1609/5000 | 4608497641
3.1.5 | 1 | 2 | 37/208 | 1/2 | 4 | 8 | 27099/100000 | 1609/5000 | 4290625529
3.2.1 | 1 | 2 | 1/2 | 1 | 1609/5400 | 1/2 | 27099/100000 | 1609/5000 | 4220031305
3.2.2 | 1 | 2 | 1/2 | 1 | 1/2 | 1 | 27099/100000 | 1609/5000 | 7312829797
3.2.3 | 1 | 2 | 1/2 | 1 | 1 | 2 | 27099/100000 | 1609/5000 | 7547688811
3.2.4 | 1 | 2 | 1/2 | 1 | 2 | 4 | 27099/100000 | 1609/5000 | 7285659195
3.2.5 | 1 | 2 | 1/2 | 1 | 4 | 8 | 27099/100000 | 1609/5000 | 6963417331
3.3.1 | 1 | 2 | 1 | 2 | 1609/5400 | 1/2 | 27099/100000 | 1609/5000 | 4038143801
3.3.2 | 1 | 2 | 1 | 2 | 1/2 | 1 | 27099/100000 | 1609/5000 | 7210333749
3.3.3 | 1 | 2 | 1 | 2 | 1 | 2 | 27099/100000 | 1609/5000 | 9517928601
3.3.4 | 1 | 2 | 1 | 2 | 2 | 4 | 27099/100000 | 1609/5000 | 9240934721
3.3.5 | 1 | 2 | 1 | 2 | 4 | 8 | 27099/100000 | 1609/5000 | 8907153457
3.4.1 | 1 | 2 | 2 | 4 | 1609/5400 | 1/2 | 27099/100000 | 17549/50000 | 2800809319
3.4.2 | 1 | 2 | 2 | 4 | 1/2 | 1 | 27099/100000 | 17549/50000 | 5654109391
3.4.3 | 1 | 2 | 2 | 4 | 1 | 2 | 27099/100000 | 17549/50000 | 8986962895
3.4.4 | 1 | 2 | 2 | 4 | 2 | 4 | 27099/100000 | 17549/50000 | 9572751756
3.4.5 | 1 | 2 | 2 | 4 | 4 | 8 | 27099/100000 | 17549/50000 | 9305984064
3.5.1 | 1 | 2 | 4 | 8 | 1609/5400 | 1/2 | 27099/100000 | 21549/50000 | 1125493337
3.5.2 | 1 | 2 | 4 | 8 | 1/2 | 1 | 27099/100000 | 21549/50000 | 3011360832
3.5.3 | 1 | 2 | 4 | 8 | 1 | 2 | 27099/100000 | 21549/50000 | 7071976419
3.5.4 | 1 | 2 | 4 | 8 | 2 | 4 | 27099/100000 | 21549/50000 | 8991137031
3.5.5 | 1 | 2 | 4 | 8 | 4 | 8 | 27099/100000 | 21549/50000 | 9209008785
4.1.1 | 2 | 4 | 37/208 | 1/2 | 1609/5400 | 1/2 | 41099/100000 | 49099/100000 | 675736225
4.1.2 | 2 | 4 | 37/208 | 1/2 | 1/2 | 1 | 41099/100000 | 49099/100000 | 1022973361
4.1.3 | 2 | 4 | 37/208 | 1/2 | 1 | 2 | 41099/100000 | 49099/100000 | 1094774693
